output_dir ./models/train_dataset
Map: 100%|███████████████████████████████████████████████████████████████████| 64359/64359 [00:46<00:00, 1396.08 examples/s]
Map: 100%|████████████████████████████████████████████████████████████████████████| 240/240 [00:00<00:00, 497.77 examples/s]
10/23/2024 15:22:22 - WARNING - accelerate.utils.other -   Detected kernel version 5.4.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
                                                                                                                            
{'loss': 0.9401, 'grad_norm': 34.19237518310547, 'learning_rate': 1.9999935338759674e-05, 'epoch': 0.0}
{'loss': 0.5856, 'grad_norm': 8.763595581054688, 'learning_rate': 1.9675809299289765e-05, 'epoch': 0.24}
{'loss': 0.4742, 'grad_norm': 8.246312141418457, 'learning_rate': 1.9666664286932198e-05, 'epoch': 0.25}
{'loss': 0.434, 'grad_norm': 6.481560230255127, 'learning_rate': 1.9657394262874106e-05, 'epoch': 0.25}
{'loss': 0.5127, 'grad_norm': 14.443373680114746, 'learning_rate': 1.9647999346997736e-05, 'epoch': 0.25}
{'loss': 0.5458, 'grad_norm': 14.77340030670166, 'learning_rate': 1.9638479660800476e-05, 'epoch': 0.26}
{'loss': 0.385, 'grad_norm': 15.42888069152832, 'learning_rate': 1.9628835327393264e-05, 'epoch': 0.26}
{'loss': 0.4485, 'grad_norm': 10.293511390686035, 'learning_rate': 1.9619066471499017e-05, 'epoch': 0.26}
{'loss': 0.5237, 'grad_norm': 8.550539016723633, 'learning_rate': 1.9609173219450998e-05, 'epoch': 0.27}
{'loss': 0.4313, 'grad_norm': 7.8285017013549805, 'learning_rate': 1.95991556991912e-05, 'epoch': 0.27}
{'loss': 0.3711, 'grad_norm': 9.962055206298828, 'learning_rate': 1.9589014040268678e-05, 'epoch': 0.27}
{'loss': 0.478, 'grad_norm': 11.961125373840332, 'learning_rate': 1.957874837383788e-05, 'epoch': 0.28}
{'loss': 0.5015, 'grad_norm': 11.023140907287598, 'learning_rate': 1.9568358832656957e-05, 'epoch': 0.28}
{'loss': 0.5412, 'grad_norm': 9.91550064086914, 'learning_rate': 1.9557845551086026e-05, 'epoch': 0.29}
{'loss': 0.5419, 'grad_norm': 9.586406707763672, 'learning_rate': 1.954720866508546e-05, 'epoch': 0.29}
{'loss': 0.5214, 'grad_norm': 11.573626518249512, 'learning_rate': 1.9536448312214094e-05, 'epoch': 0.29}
{'loss': 0.4324, 'grad_norm': 10.194243431091309, 'learning_rate': 1.9525564631627495e-05, 'epoch': 0.3}
{'loss': 0.4929, 'grad_norm': 8.836055755615234, 'learning_rate': 1.9514557764076113e-05, 'epoch': 0.3}
{'loss': 0.5493, 'grad_norm': 8.567277908325195, 'learning_rate': 1.950342785190349e-05, 'epoch': 0.3}
{'loss': 0.4931, 'grad_norm': 5.1644511222839355, 'learning_rate': 1.949217503904441e-05, 'epoch': 0.31}
{'loss': 0.4766, 'grad_norm': 8.28897762298584, 'learning_rate': 1.9480799471023047e-05, 'epoch': 0.31}
{'loss': 0.4677, 'grad_norm': 8.579329490661621, 'learning_rate': 1.946930129495106e-05, 'epoch': 0.31}
{'loss': 0.4436, 'grad_norm': 6.996414661407471, 'learning_rate': 1.9457680659525718e-05, 'epoch': 0.32}
{'loss': 0.497, 'grad_norm': 12.013797760009766, 'learning_rate': 1.944593771502796e-05, 'epoch': 0.32}
{'loss': 0.3824, 'grad_norm': 5.628300666809082, 'learning_rate': 1.943407261332046e-05, 'epoch': 0.32}
{'loss': 0.4824, 'grad_norm': 6.667654514312744, 'learning_rate': 1.9422085507845655e-05, 'epoch': 0.33}
{'loss': 0.504, 'grad_norm': 12.209322929382324, 'learning_rate': 1.9409976553623767e-05, 'epoch': 0.33}
{'loss': 0.3877, 'grad_norm': 4.35352897644043, 'learning_rate': 1.9397745907250795e-05, 'epoch': 0.33}
{'loss': 0.5395, 'grad_norm': 6.985570907592773, 'learning_rate': 1.9385393726896492e-05, 'epoch': 0.34}
{'loss': 0.4601, 'grad_norm': 13.452596664428711, 'learning_rate': 1.9372920172302317e-05, 'epoch': 0.34}
{'loss': 0.5108, 'grad_norm': 6.666804790496826, 'learning_rate': 1.9360325404779373e-05, 'epoch': 0.34}
{'loss': 0.5736, 'grad_norm': 14.357303619384766, 'learning_rate': 1.934760958720632e-05, 'epoch': 0.35}
{'loss': 0.482, 'grad_norm': 7.054995536804199, 'learning_rate': 1.9334772884027267e-05, 'epoch': 0.35}
{'loss': 0.4476, 'grad_norm': 5.987096309661865, 'learning_rate': 1.932181546124964e-05, 'epoch': 0.35}
{'loss': 0.503, 'grad_norm': 7.836471080780029, 'learning_rate': 1.9308737486442045e-05, 'epoch': 0.36}
{'loss': 0.4795, 'grad_norm': 6.776065826416016, 'learning_rate': 1.9295539128732096e-05, 'epoch': 0.36}
{'loss': 0.4587, 'grad_norm': 14.704841613769531, 'learning_rate': 1.928222055880423e-05, 'epoch': 0.36}
{'loss': 0.3456, 'grad_norm': 6.428474426269531, 'learning_rate': 1.9268781948897498e-05, 'epoch': 0.37}
{'loss': 0.4251, 'grad_norm': 10.730262756347656, 'learning_rate': 1.9255223472803337e-05, 'epoch': 0.37}
{'loss': 0.5659, 'grad_norm': 12.837105751037598, 'learning_rate': 1.924154530586332e-05, 'epoch': 0.37}
{'loss': 0.5059, 'grad_norm': 11.14089298248291, 'learning_rate': 1.92277476249669e-05, 'epoch': 0.38}
{'loss': 0.5151, 'grad_norm': 8.551470756530762, 'learning_rate': 1.92138306085491e-05, 'epoch': 0.38}
{'loss': 0.5076, 'grad_norm': 9.66948413848877, 'learning_rate': 1.9199794436588244e-05, 'epoch': 0.38}
{'loss': 0.4389, 'grad_norm': 11.434657096862793, 'learning_rate': 1.9185639290603575e-05, 'epoch': 0.39}
{'loss': 0.5583, 'grad_norm': 8.680182456970215, 'learning_rate': 1.917136535365296e-05, 'epoch': 0.39}
{'loss': 0.4229, 'grad_norm': 9.963233947753906, 'learning_rate': 1.915697281033049e-05, 'epoch': 0.39}
{'loss': 0.3874, 'grad_norm': 12.097086906433105, 'learning_rate': 1.9142461846764108e-05, 'epoch': 0.4}
{'loss': 0.4511, 'grad_norm': 14.256302833557129, 'learning_rate': 1.912783265061319e-05, 'epoch': 0.4}
{'loss': 0.5456, 'grad_norm': 7.921647548675537, 'learning_rate': 1.9113085411066134e-05, 'epoch': 0.41}
{'loss': 0.4237, 'grad_norm': 10.191670417785645, 'learning_rate': 1.9098220318837897e-05, 'epoch': 0.41}
{'loss': 0.6016, 'grad_norm': 12.303964614868164, 'learning_rate': 1.908323756616754e-05, 'epoch': 0.41}
{'loss': 0.4979, 'grad_norm': 6.01289176940918, 'learning_rate': 1.9068137346815742e-05, 'epoch': 0.42}
{'loss': 0.3463, 'grad_norm': 6.384117126464844, 'learning_rate': 1.9052919856062275e-05, 'epoch': 0.42}
{'loss': 0.4982, 'grad_norm': 9.295581817626953, 'learning_rate': 1.9037585290703514e-05, 'epoch': 0.42}
{'loss': 0.4501, 'grad_norm': 12.067659378051758, 'learning_rate': 1.902213384904986e-05, 'epoch': 0.43}
{'loss': 0.4825, 'grad_norm': 4.920353889465332, 'learning_rate': 1.9006565730923188e-05, 'epoch': 0.43}
{'loss': 0.4763, 'grad_norm': 7.429551124572754, 'learning_rate': 1.899088113765426e-05, 'epoch': 0.43}
{'loss': 0.4164, 'grad_norm': 8.918188095092773, 'learning_rate': 1.8975080272080135e-05, 'epoch': 0.44}
{'loss': 0.4876, 'grad_norm': 11.280474662780762, 'learning_rate': 1.895916333854152e-05, 'epoch': 0.44}
{'loss': 0.3976, 'grad_norm': 6.61124324798584, 'learning_rate': 1.894313054288015e-05, 'epoch': 0.44}
{'loss': 0.4158, 'grad_norm': 8.881558418273926, 'learning_rate': 1.8926982092436117e-05, 'epoch': 0.45}
{'loss': 0.4031, 'grad_norm': 4.190414905548096, 'learning_rate': 1.8910718196045187e-05, 'epoch': 0.45}
{'loss': 0.3935, 'grad_norm': 8.476075172424316, 'learning_rate': 1.88943390640361e-05, 'epoch': 0.45}
{'loss': 0.4234, 'grad_norm': 7.428911209106445, 'learning_rate': 1.8877844908227857e-05, 'epoch': 0.46}
{'loss': 0.5197, 'grad_norm': 11.040038108825684, 'learning_rate': 1.8861235941926974e-05, 'epoch': 0.46}
{'loss': 0.429, 'grad_norm': 11.154974937438965, 'learning_rate': 1.884451237992472e-05, 'epoch': 0.46}
{'loss': 0.3499, 'grad_norm': 10.911944389343262, 'learning_rate': 1.882767443849435e-05, 'epoch': 0.47}
{'loss': 0.4475, 'grad_norm': 8.365028381347656, 'learning_rate': 1.8810722335388296e-05, 'epoch': 0.47}
{'loss': 0.5245, 'grad_norm': 6.722257137298584, 'learning_rate': 1.8793656289835365e-05, 'epoch': 0.47}
{'loss': 0.4982, 'grad_norm': 9.10071086883545, 'learning_rate': 1.877647652253789e-05, 'epoch': 0.48}
{'loss': 0.4596, 'grad_norm': 6.376450538635254, 'learning_rate': 1.875918325566888e-05, 'epoch': 0.48}
{'loss': 0.5108, 'grad_norm': 5.675417423248291, 'learning_rate': 1.8741776712869154e-05, 'epoch': 0.48}
{'loss': 0.4315, 'grad_norm': 7.567363739013672, 'learning_rate': 1.8724257119244447e-05, 'epoch': 0.49}
{'loss': 0.5094, 'grad_norm': 9.107527732849121, 'learning_rate': 1.8706624701362485e-05, 'epoch': 0.49}
{'loss': 0.4391, 'grad_norm': 5.987936496734619, 'learning_rate': 1.8688879687250067e-05, 'epoch': 0.49}
{'loss': 0.4675, 'grad_norm': 10.91335391998291, 'learning_rate': 1.867102230639012e-05, 'epoch': 0.5}
{'loss': 0.4431, 'grad_norm': 10.045193672180176, 'learning_rate': 1.8653052789718725e-05, 'epoch': 0.5}
{'loss': 0.4571, 'grad_norm': 14.014164924621582, 'learning_rate': 1.863497136962213e-05, 'epoch': 0.5}
{'loss': 0.5085, 'grad_norm': 7.571877479553223, 'learning_rate': 1.861677827993374e-05, 'epoch': 0.51}
{'loss': 0.4001, 'grad_norm': 12.234090805053711, 'learning_rate': 1.859847375593111e-05, 'epoch': 0.51}
{'loss': 0.5931, 'grad_norm': 13.582206726074219, 'learning_rate': 1.8580058034332878e-05, 'epoch': 0.52}
{'loss': 0.3711, 'grad_norm': 12.163768768310547, 'learning_rate': 1.8561531353295735e-05, 'epoch': 0.52}
{'loss': 0.4673, 'grad_norm': 12.982694625854492, 'learning_rate': 1.8542893952411302e-05, 'epoch': 0.52}
{'loss': 0.3751, 'grad_norm': 5.563711643218994, 'learning_rate': 1.852414607270308e-05, 'epoch': 0.53}
{'loss': 0.4739, 'grad_norm': 18.485754013061523, 'learning_rate': 1.8505287956623298e-05, 'epoch': 0.53}
{'loss': 0.3913, 'grad_norm': 6.8291120529174805, 'learning_rate': 1.8486319848049788e-05, 'epoch': 0.53}
{'loss': 0.477, 'grad_norm': 10.572041511535645, 'learning_rate': 1.8467241992282842e-05, 'epoch': 0.54}
{'loss': 0.4899, 'grad_norm': 8.006410598754883, 'learning_rate': 1.844805463604202e-05, 'epoch': 0.54}
{'loss': 0.417, 'grad_norm': 6.5134053230285645, 'learning_rate': 1.842875802746297e-05, 'epoch': 0.54}
{'loss': 0.347, 'grad_norm': 6.248442649841309, 'learning_rate': 1.8409352416094224e-05, 'epoch': 0.55}
{'loss': 0.4972, 'grad_norm': 11.491852760314941, 'learning_rate': 1.838983805289396e-05, 'epoch': 0.55}
{'loss': 0.4148, 'grad_norm': 11.160867691040039, 'learning_rate': 1.8370215190226768e-05, 'epoch': 0.55}
{'loss': 0.3406, 'grad_norm': 6.543741703033447, 'learning_rate': 1.835048408186037e-05, 'epoch': 0.56}
{'loss': 0.4945, 'grad_norm': 7.445623397827148, 'learning_rate': 1.833064498296236e-05, 'epoch': 0.56}
{'loss': 0.4884, 'grad_norm': 13.515219688415527, 'learning_rate': 1.831069815009688e-05, 'epoch': 0.56}
{'loss': 0.5316, 'grad_norm': 10.138520240783691, 'learning_rate': 1.8290643841221324e-05, 'epoch': 0.57}
{'loss': 0.4332, 'grad_norm': 5.161069393157959, 'learning_rate': 1.827048231568299e-05, 'epoch': 0.57}
{'loss': 0.4599, 'grad_norm': 4.382038116455078, 'learning_rate': 1.825021383421573e-05, 'epoch': 0.57}
{'loss': 0.4814, 'grad_norm': 9.070127487182617, 'learning_rate': 1.8229838658936566e-05, 'epoch': 0.58}
{'loss': 0.3413, 'grad_norm': 11.137591361999512, 'learning_rate': 1.8209357053342325e-05, 'epoch': 0.58}
{'loss': 0.3379, 'grad_norm': 8.36861801147461, 'learning_rate': 1.8188769282306215e-05, 'epoch': 0.58}
{'loss': 0.445, 'grad_norm': 7.125855445861816, 'learning_rate': 1.8168075612074388e-05, 'epoch': 0.59}
{'loss': 0.3981, 'grad_norm': 8.3114595413208, 'learning_rate': 1.8147276310262527e-05, 'epoch': 0.59}
{'loss': 0.3781, 'grad_norm': 5.977234840393066, 'learning_rate': 1.8126371645852363e-05, 'epoch': 0.59}
{'loss': 0.4982, 'grad_norm': 14.652503967285156, 'learning_rate': 1.8105361889188203e-05, 'epoch': 0.6}
{'loss': 0.4082, 'grad_norm': 9.311355590820312, 'learning_rate': 1.8084247311973426e-05, 'epoch': 0.6}
{'loss': 0.4046, 'grad_norm': 6.302390098571777, 'learning_rate': 1.8063028187266987e-05, 'epoch': 0.6}
{'loss': 0.4221, 'grad_norm': 5.576641082763672, 'learning_rate': 1.8041704789479872e-05, 'epoch': 0.61}
{'loss': 0.4831, 'grad_norm': 11.43558406829834, 'learning_rate': 1.802027739437155e-05, 'epoch': 0.61}
{'loss': 0.4523, 'grad_norm': 13.339607238769531, 'learning_rate': 1.7998746279046406e-05, 'epoch': 0.61}
{'loss': 0.4694, 'grad_norm': 8.678120613098145, 'learning_rate': 1.7977111721950163e-05, 'epoch': 0.62}
{'loss': 0.3405, 'grad_norm': 12.995326042175293, 'learning_rate': 1.7955374002866288e-05, 'epoch': 0.62}
{'loss': 0.4657, 'grad_norm': 20.00308609008789, 'learning_rate': 1.7933533402912354e-05, 'epoch': 0.62}
{'loss': 0.5501, 'grad_norm': 10.599329948425293, 'learning_rate': 1.7911590204536413e-05, 'epoch': 0.63}
{'loss': 0.5365, 'grad_norm': 9.753242492675781, 'learning_rate': 1.7889544691513357e-05, 'epoch': 0.63}
{'loss': 0.4398, 'grad_norm': 10.14976978302002, 'learning_rate': 1.7867397148941223e-05, 'epoch': 0.64}
{'loss': 0.4125, 'grad_norm': 11.582051277160645, 'learning_rate': 1.7845147863237526e-05, 'epoch': 0.64}
{'loss': 0.3805, 'grad_norm': 8.978174209594727, 'learning_rate': 1.7822797122135548e-05, 'epoch': 0.64}
{'loss': 0.4847, 'grad_norm': 12.378539085388184, 'learning_rate': 1.7800345214680622e-05, 'epoch': 0.65}
{'loss': 0.477, 'grad_norm': 9.686455726623535, 'learning_rate': 1.7777792431226384e-05, 'epoch': 0.65}
{'loss': 0.4569, 'grad_norm': 7.9863176345825195, 'learning_rate': 1.7755139063431017e-05, 'epoch': 0.65}
{'loss': 0.3564, 'grad_norm': 11.244483947753906, 'learning_rate': 1.77323854042535e-05, 'epoch': 0.66}
{'loss': 0.3476, 'grad_norm': 5.652181148529053, 'learning_rate': 1.7709531747949796e-05, 'epoch': 0.66}
{'loss': 0.4818, 'grad_norm': 16.723636627197266, 'learning_rate': 1.768657839006906e-05, 'epoch': 0.66}
{'loss': 0.4234, 'grad_norm': 11.494818687438965, 'learning_rate': 1.7663525627449806e-05, 'epoch': 0.67}
{'loss': 0.3709, 'grad_norm': 6.9505181312561035, 'learning_rate': 1.7640373758216075e-05, 'epoch': 0.67}
{'loss': 0.2991, 'grad_norm': 6.5111775398254395, 'learning_rate': 1.761712308177359e-05, 'epoch': 0.67}
{'loss': 0.4421, 'grad_norm': 13.299428939819336, 'learning_rate': 1.7593773898805868e-05, 'epoch': 0.68}
{'loss': 0.498, 'grad_norm': 8.492011070251465, 'learning_rate': 1.7570326511270332e-05, 'epoch': 0.68}
{'loss': 0.4011, 'grad_norm': 8.228039741516113, 'learning_rate': 1.754678122239441e-05, 'epoch': 0.68}
{'loss': 0.3983, 'grad_norm': 6.957624912261963, 'learning_rate': 1.7523138336671628e-05, 'epoch': 0.69}
{'loss': 0.4417, 'grad_norm': 7.801516532897949, 'learning_rate': 1.749939815985764e-05, 'epoch': 0.69}
{'loss': 0.4561, 'grad_norm': 8.022622108459473, 'learning_rate': 1.7475560998966304e-05, 'epoch': 0.69}
{'loss': 0.5069, 'grad_norm': 5.818947792053223, 'learning_rate': 1.7451627162265703e-05, 'epoch': 0.7}
{'loss': 0.4415, 'grad_norm': 10.238168716430664, 'learning_rate': 1.7427596959274145e-05, 'epoch': 0.7}
{'loss': 0.4607, 'grad_norm': 7.359940052032471, 'learning_rate': 1.7403470700756176e-05, 'epoch': 0.7}
{'loss': 0.4102, 'grad_norm': 9.064218521118164, 'learning_rate': 1.737924869871856e-05, 'epoch': 0.71}
{'loss': 0.3808, 'grad_norm': 8.196695327758789, 'learning_rate': 1.7354931266406235e-05, 'epoch': 0.71}
{'loss': 0.4042, 'grad_norm': 6.954961776733398, 'learning_rate': 1.7330518718298263e-05, 'epoch': 0.71}
{'loss': 0.4657, 'grad_norm': 13.301013946533203, 'learning_rate': 1.730601137010378e-05, 'epoch': 0.72}
{'loss': 0.5245, 'grad_norm': 7.531942844390869, 'learning_rate': 1.7281409538757886e-05, 'epoch': 0.72}
{'loss': 0.4224, 'grad_norm': 9.476003646850586, 'learning_rate': 1.7256713542417567e-05, 'epoch': 0.72}
{'loss': 0.3923, 'grad_norm': 7.480546951293945, 'learning_rate': 1.723192370045758e-05, 'epoch': 0.73}
{'loss': 0.4515, 'grad_norm': 7.433355808258057, 'learning_rate': 1.7207040333466306e-05, 'epoch': 0.73}
{'loss': 0.3366, 'grad_norm': 4.278117656707764, 'learning_rate': 1.7182063763241617e-05, 'epoch': 0.73}
{'loss': 0.5361, 'grad_norm': 10.111839294433594, 'learning_rate': 1.7156994312786718e-05, 'epoch': 0.74}
{'loss': 0.4682, 'grad_norm': 12.902641296386719, 'learning_rate': 1.7131832306305964e-05, 'epoch': 0.74}
{'loss': 0.3644, 'grad_norm': 4.658940315246582, 'learning_rate': 1.710657806920066e-05, 'epoch': 0.75}
{'loss': 0.4883, 'grad_norm': 6.743170261383057, 'learning_rate': 1.708123192806487e-05, 'epoch': 0.75}
{'loss': 0.3714, 'grad_norm': 8.676621437072754, 'learning_rate': 1.7055794210681174e-05, 'epoch': 0.75}
{'loss': 0.4201, 'grad_norm': 9.47738265991211, 'learning_rate': 1.7030265246016443e-05, 'epoch': 0.76}
{'loss': 0.4104, 'grad_norm': 9.45580005645752, 'learning_rate': 1.7004645364217584e-05, 'epoch': 0.76}
{'loss': 0.3299, 'grad_norm': 9.179274559020996, 'learning_rate': 1.6978934896607266e-05, 'epoch': 0.76}
